number_of_authors,age,number_unique_changes,size,lines_added,lines_deleted,buggy,id
1,0,1,118,106,0,0,1534
1,0,1,686,685,0,0,321
1,0,1,342,337,0,0,158
1,0,1,80,79,0,0,182
1,0,1,81,80,0,0,475
1,0,1,80,79,0,0,196
1,0,1,170,169,0,0,399
1,0,1,304,303,0,0,227
1,0,1,226,225,0,0,65
1,0,1,80,79,0,0,341
1,0,1,197,196,0,0,455
1,0,1,80,79,0,0,16
1,0,1,210,204,0,0,280
2,8939,2,611,45,120,0,308
2,8939,2,342,1,1,0,135
2,8939,2,170,2,2,0,391
2,8939,2,317,28,15,0,211
2,8939,2,227,20,19,0,53
1,0,1,193,193,0,0,420
2,8939,2,118,23,23,0,1530
1,0,1,87,87,0,0,82
1,0,1,170,170,0,0,123
2,4227,3,610,13,14,0,326
1,4230,2,193,4,4,0,409
3,1902,4,610,1,1,0,327
3,19761,5,291,21,340,0,314
1,21660,3,328,205,70,0,422
1,0,1,96,95,0,0,92
1,25891,2,93,14,8,0,83
1,21666,2,285,170,55,0,111
3,5629,6,294,5,2,0,318
3,1545,7,289,7,12,0,312
2,33131,3,227,7,7,0,58
2,33131,3,394,58,6,0,146
2,33131,3,322,7,2,0,219
2,33131,3,199,41,12,0,394
2,42070,2,254,71,14,0,450
2,1316,4,402,11,3,0,136
3,9574,3,254,2,2,0,449
2,17381,5,525,130,7,0,166
2,60768,2,210,1,1,0,283
3,9378,4,254,2,2,0,452
1,30187,2,99,8,5,0,96
3,4986,5,254,2,2,0,447
1,0,1,74,74,0,0,255
2,28740,4,387,70,5,0,221
1,1493,2,238,164,0,0,265
3,30298,8,238,2,53,0,330
2,30234,4,205,9,3,0,407
2,1493,5,331,1,57,0,240
2,1398,6,340,11,2,0,216
2,31632,4,212,23,38,0,54
1,5798,3,247,25,16,0,245
2,4400,5,231,20,1,0,46
1,43272,3,284,17,18,0,106
2,4400,7,396,66,10,0,204
1,43272,4,328,16,16,0,414
2,79384,2,80,1,1,0,19
1,1399,4,291,48,4,0,242
1,1399,4,319,41,6,0,102
1,1399,5,363,42,7,0,410
2,1399,6,276,49,4,0,43
2,1399,8,417,21,0,0,200
2,33097,3,165,5,45,0,285
2,14362,9,448,32,1,0,239
3,21561,9,259,29,8,0,329
1,14362,5,301,9,27,0,124
2,14362,7,303,37,10,0,74
1,14362,6,381,29,11,0,439
2,1323,8,305,7,5,0,59
1,1417,7,337,6,50,0,421
2,1417,10,471,23,0,0,213
1,15780,5,303,15,3,0,250
1,1417,6,301,5,5,0,110
1,4142,6,313,13,3,0,241
2,4142,11,547,128,52,0,199
2,4236,9,309,8,4,0,40
1,0,1,14,14,0,0,35
1,12970,8,137,81,281,0,435
1,0,1,156,156,0,0,379
1,43235,3,104,8,3,0,95
1,12970,7,44,21,278,0,121
2,111013,2,83,8,6,0,471
2,31628,3,82,8,6,0,11
2,111013,2,83,10,7,0,177
1,2759,8,127,83,0,0,112
3,17147,10,267,10,2,0,315
2,111013,2,83,8,5,0,337
2,17147,4,166,2,1,0,275
2,111013,2,82,10,8,0,192
1,2759,2,155,0,1,0,361
1,2759,4,106,6,4,0,93
1,2759,2,92,78,0,0,29
2,11587,10,327,41,23,0,56
1,11587,7,322,13,4,0,252
1,2759,9,307,174,4,0,423
1,76182,3,97,7,3,0,85
1,7058,9,187,74,14,0,125
1,7058,3,162,8,1,0,383
2,20387,12,547,1,1,0,235
1,1741,4,279,143,26,0,377
